"","X","V1","V2","V3","V4","V5","V6","V7"
"1",1,1600,"P",253098159007336,-4.03634894976469,8.85621519275322,-0.904283161566984,"Phone"
"2",2,1601,"P",264636575498910,-3.23629047515389,2.64087849787353,8.61785062803581,"Phone"
"3",3,1602,"P",101712712375933,-1.5818735009737,-2.67666585442082,8.65807537428651,"Phone"
"4",4,1603,"P",10516826850283.4,7.44418737845551,0.66216910549972,6.26767422281477,"Phone"
"5",5,1604,"P",19398201361029.8,0.0301148213228036,9.68444824415221,-0.252174987864723,"Phone"
"6",6,1605,"P",182035846923777,8.39011727697258,2.758615409338,4.11105885207051,"Phone"
"7",7,1606,"P",123650729184612,-8.42189471680918,-0.0898482796851978,4.39537308761612,"Phone"
"8",8,1607,"P",287747405036819,3.90716651837129,-8.87758770274203,1.25876494191223,"Phone"
"9",9,1608,"P",77520238668961.8,5.00525962299944,2.47259079155568,7.20837979303302,"Phone"
"10",10,1609,"P",40901840855418.5,7.58578129330162,-5.34057497101287,-1.22769613336796,"Phone"
"11",11,1610,"P",19311153029512.6,-0.219386325825937,9.48386258183478,-0.19240847612493,"Phone"
"12",12,1611,"P",940495832568.156,3.06203030731673,-9.01254617451035,0.837016301953959,"Phone"
"13",13,1612,"P",6134478576078.23,-9.45661118407667,-2.94557309960828,0.27032637644709,"Phone"
"14",14,1613,"P",176816321609227,2.03217230534415,5.34434755243425,7.75530197050923,"Phone"
"15",15,1614,"P",83738365028018.5,-0.324984194002182,9.70571989642809,1.90210998418236,"Phone"
"16",16,1615,"P",179299372724084,2.71296149720582,-9.20273976098769,-0.485211429015115,"Phone"
"17",17,1616,"P",194291165448436,-0.178442008823503,0.0366789396809368,9.14932020453274,"Phone"
"18",18,1617,"P",269880320337788,0.283721395348033,3.0729577334827,7.26315854646503,"Phone"
"19",19,1618,"P",203640710130429,-0.642371355064354,-0.501642932732233,9.04407746881086,"Phone"
"20",20,1619,"P",171186379785808,-4.95164504023503,-4.58656362184947,6.92493048058198,"Phone"
"21",21,1620,"P",940879750658244,2.39721283908226,8.94764107337997,-2.72245496986626,"Phone"
"22",22,1621,"P",170324074927145,6.18357134735758,-5.00806956207191,-1.30810599513481,"Phone"
"23",23,1622,"P",1148376122917089,-2.41498203176273,-9.38796740682708,0.379830755811253,"Phone"
"24",24,1623,"P",4339708158758.78,4.17316287280358,-2.4106188647174,-8.86417630176273,"Phone"
